date,home_team,away_team,home_score,away_score,tournament,neutral
2022-05-28,Los Angeles FC,San Jose Earthquakes,3,2,mls,FALSE
2022-05-28,Toronto,Chicago Fire,3,2,mls,FALSE
2022-05-28,New York Red Bulls,DC United,4,1,mls,FALSE
2022-05-28,Atlanta United,Columbus Crew,1,2,mls,FALSE
2022-05-28,Orlando City SC,FC Dallas,1,3,mls,FALSE
2022-05-28,New England Revolution,Philadelphia Union,1,1,mls,FALSE
2022-05-28,CF Montreal,FC Cincinnati,4,3,mls,FALSE
2022-05-29,Minnesota United,New York City,0,1,mls,FALSE
2022-05-29,Inter Miami,Portland Timbers,2,1,mls,FALSE
2022-05-29,Colorado Rapids,Nashville SC,1,3,mls,FALSE
2022-05-29,Sporting Kansas City,Vancouver Whitecaps,0,1,mls,FALSE
2022-05-29,Real Salt Lake,Houston Dynamo,3,0,mls,FALSE
2022-05-29,Los Angeles Galaxy,Austin,4,1,mls,FALSE
2022-05-30,Seattle Sounders,Charlotte,2,1,mls,FALSE
2022-06-04,Vancouver Whitecaps,Real Salt Lake,2,1,mls,FALSE
2022-06-11,Charlotte,New York Red Bulls,2,0,mls,FALSE
2022-06-12,Nashville SC,San Jose Earthquakes,0,0,mls,FALSE
2022-06-12,Sporting Kansas City,New England Revolution,1,2,mls,FALSE
2022-06-15,Seattle Sounders,Vancouver Whitecaps,4,0,mls,FALSE
2022-06-15,New England Revolution,Orlando City SC,1,1,mls,FALSE
2022-06-18,Seattle Sounders,Los Angeles FC,1,1,mls,FALSE
2022-06-18,Los Angeles Galaxy,Portland Timbers,1,1,mls,FALSE
2022-06-18,New York Red Bulls,Toronto,2,0,mls,FALSE
2022-06-18,Orlando City SC,Houston Dynamo,2,1,mls,FALSE
2022-06-18,Philadelphia Union,FC Cincinnati,1,1,mls,FALSE
2022-06-18,Columbus Crew,Charlotte,1,1,mls,FALSE
2022-06-18,CF Montreal,Austin,0,1,mls,FALSE
2022-06-19,Chicago Fire,DC United,1,0,mls,FALSE
2022-06-19,FC Dallas,Vancouver Whitecaps,0,2,mls,FALSE
2022-06-19,Real Salt Lake,San Jose Earthquakes,2,0,mls,FALSE
2022-06-19,Atlanta United,Inter Miami,2,0,mls,FALSE
2022-06-19,New York City,Colorado Rapids,1,1,mls,FALSE
2022-06-19,New England Revolution,Minnesota United,2,1,mls,FALSE
2022-06-19,Nashville SC,Sporting Kansas City,1,2,mls,FALSE
2022-06-24,FC Cincinnati,Orlando City SC,1,0,mls,FALSE
2022-06-25,Seattle Sounders,Sporting Kansas City,3,0,mls,FALSE
2022-06-25,DC United,Nashville SC,1,3,mls,FALSE
2022-06-25,Toronto,Atlanta United,2,1,mls,FALSE
2022-06-25,CF Montreal,Charlotte,2,1,mls,FALSE
2022-06-26,Houston Dynamo,Chicago Fire,2,0,mls,FALSE
2022-06-26,Inter Miami,Minnesota United,2,1,mls,FALSE
2022-06-26,Austin,FC Dallas,2,2,mls,FALSE
2022-06-26,Real Salt Lake,Columbus Crew,0,0,mls,FALSE
2022-06-26,Portland Timbers,Colorado Rapids,3,0,mls,FALSE
2022-06-26,Los Angeles FC,New York Red Bulls,2,0,mls,FALSE
2022-06-26,Philadelphia Union,New York City,2,1,mls,FALSE
2022-06-27,Vancouver Whitecaps,New England Revolution,0,0,mls,FALSE
2022-06-29,Toronto,Columbus Crew,1,2,mls,FALSE
2022-06-29,FC Cincinnati,New York City,4,4,mls,FALSE
2022-06-30,Chicago Fire,Philadelphia Union,1,0,mls,FALSE
2022-06-30,Seattle Sounders,CF Montreal,1,2,mls,FALSE
2022-06-30,Los Angeles Galaxy,Minnesota United,2,3,mls,FALSE
2022-06-30,Los Angeles FC,FC Dallas,3,1,mls,FALSE
2022-06-30,Portland Timbers,Houston Dynamo,2,1,mls,FALSE
2022-06-30,Charlotte,Austin,0,1,mls,FALSE
2022-07-01,New York Red Bulls,Atlanta United,2,1,mls,FALSE
2022-07-02,Toronto,Seattle Sounders,0,2,mls,FALSE
2022-07-03,Vancouver Whitecaps,Los Angeles FC,1,0,mls,FALSE
2022-07-03,New York City,Atlanta United,2,2,mls,FALSE
2022-07-03,New England Revolution,FC Cincinnati,2,2,mls,FALSE
2022-07-03,Columbus Crew,Philadelphia Union,0,0,mls,FALSE
2022-07-04,Sporting Kansas City,New York Red Bulls,0,1,mls,FALSE
2022-07-04,Minnesota United,Real Salt Lake,3,2,mls,FALSE
2022-07-04,Houston Dynamo,Charlotte,1,2,mls,FALSE
2022-07-04,Nashville SC,Portland Timbers,2,2,mls,FALSE
2022-07-04,San Jose Earthquakes,Chicago Fire,2,1,mls,FALSE
2022-07-04,Orlando City SC,DC United,3,5,mls,FALSE
2022-07-05,FC Dallas,Inter Miami,1,1,mls,FALSE
2022-07-05,Colorado Rapids,Austin,2,3,mls,FALSE
2022-07-05,Los Angeles Galaxy,CF Montreal,4,0,mls,FALSE
2022-07-08,Philadelphia Union,DC United,7,0,mls,FALSE
2022-07-09,Los Angeles FC,Los Angeles Galaxy,3,2,mls,FALSE
2022-07-09,Vancouver Whitecaps,Minnesota United,1,3,mls,FALSE
2022-07-09,New York City,New England Revolution,4,2,mls,FALSE
2022-07-09,Seattle Sounders,Portland Timbers,0,3,mls,FALSE
2022-07-09,Atlanta United,Austin,0,3,mls,FALSE
2022-07-09,Charlotte,Nashville SC,4,1,mls,FALSE
2022-07-09,Toronto,San Jose Earthquakes,2,2,mls,FALSE
2022-07-09,CF Montreal,Sporting Kansas City,1,2,mls,FALSE
2022-07-09,FC Cincinnati,New York Red Bulls,1,1,mls,FALSE
2022-07-10,Orlando City SC,Inter Miami,1,0,mls,FALSE
2022-07-10,Chicago Fire,Columbus Crew,2,3,mls,FALSE
2022-07-10,Houston Dynamo,FC Dallas,2,2,mls,FALSE
2022-07-10,Real Salt Lake,Colorado Rapids,2,2,mls,FALSE
2022-07-13,Austin,Houston Dynamo,3,1,mls,FALSE
2022-07-13,Atlanta United,Real Salt Lake,2,1,mls,FALSE
2022-07-14,Chicago Fire,Toronto,2,0,mls,FALSE
2022-07-14,Minnesota United,Sporting Kansas City,1,1,mls,FALSE
2022-07-14,DC United,Columbus Crew,2,2,mls,FALSE
2022-07-14,FC Cincinnati,Vancouver Whitecaps,2,2,mls,FALSE
2022-07-14,Inter Miami,Philadelphia Union,1,2,mls,FALSE
2022-07-14,Nashville SC,Seattle Sounders,1,0,mls,FALSE
2022-07-14,FC Dallas,New York City,0,1,mls,FALSE
2022-07-14,Colorado Rapids,Orlando City SC,1,1,mls,FALSE
2022-07-14,Los Angeles Galaxy,San Jose Earthquakes,2,3,mls,FALSE
2022-07-16,Philadelphia Union,New England Revolution,2,1,mls,FALSE
2022-07-16,CF Montreal,Toronto,1,0,mls,FALSE
2022-07-17,Chicago Fire,Seattle Sounders,1,0,mls,FALSE
2022-07-17,Minnesota United,DC United,2,0,mls,FALSE
2022-07-17,Inter Miami,Charlotte,3,2,mls,FALSE
2022-07-17,FC Dallas,Austin,1,1,mls,FALSE
2022-07-17,Colorado Rapids,Los Angeles Galaxy,2,0,mls,FALSE
2022-07-17,Atlanta United,Orlando City SC,1,1,mls,FALSE
2022-07-17,New York Red Bulls,New York City,0,1,mls,FALSE
2022-07-17,Columbus Crew,FC Cincinnati,2,0,mls,FALSE
2022-07-18,Nashville SC,Los Angeles FC,1,2,mls,FALSE
2022-07-18,San Jose Earthquakes,Houston Dynamo,1,2,mls,FALSE
2022-07-18,Real Salt Lake,Sporting Kansas City,3,0,mls,FALSE
2022-07-18,Portland Timbers,Vancouver Whitecaps,1,1,mls,FALSE
2022-07-23,New York City,Inter Miami,2,0,mls,FALSE
2022-07-23,Orlando City SC,Philadelphia Union,0,1,mls,FALSE
2022-07-23,Toronto,Charlotte,4,0,mls,FALSE
2022-07-23,Columbus Crew,New England Revolution,0,0,mls,FALSE
2022-07-23,FC Cincinnati,Nashville SC,1,1,mls,FALSE
2022-07-24,DC United,CF Montreal,1,2,mls,FALSE
2022-07-24,Houston Dynamo,Minnesota United,1,2,mls,FALSE
2022-07-24,Sporting Kansas City,Los Angeles FC,0,2,mls,FALSE
2022-07-24,Seattle Sounders,Colorado Rapids,2,1,mls,FALSE
2022-07-24,Vancouver Whitecaps,Chicago Fire,1,3,mls,FALSE
2022-07-24,Real Salt Lake,FC Dallas,0,1,mls,FALSE
2022-07-24,Portland Timbers,San Jose Earthquakes,2,1,mls,FALSE
2022-07-25,Austin,New York Red Bulls,3,4,mls,FALSE
2022-07-25,Los Angeles Galaxy,Atlanta United,2,0,mls,FALSE
2022-07-30,Los Angeles FC,Seattle Sounders,2,1,mls,FALSE
2022-07-30,Minnesota United,Portland Timbers,4,4,mls,FALSE
2022-07-30,Chicago Fire,Atlanta United,0,0,mls,FALSE
2022-07-30,Philadelphia Union,Houston Dynamo,6,0,mls,FALSE
2022-07-30,CF Montreal,New York City,0,0,mls,FALSE
2022-07-31,New England Revolution,Toronto,0,0,mls,FALSE
2022-07-31,Inter Miami,FC Cincinnati,4,4,mls,FALSE
2022-07-31,Nashville SC,Vancouver Whitecaps,1,1,mls,FALSE
2022-07-31,Sporting Kansas City,Austin,0,2,mls,FALSE
2022-07-31,FC Dallas,Los Angeles Galaxy,1,0,mls,FALSE
2022-07-31,San Jose Earthquakes,Real Salt Lake,2,2,mls,FALSE
2022-07-31,DC United,Orlando City SC,2,1,mls,FALSE
2022-08-02,New York Red Bulls,Colorado Rapids,4,5,mls,FALSE
2022-08-03,Seattle Sounders,FC Dallas,1,0,mls,FALSE
2022-08-03,Charlotte,DC United,3,0,mls,FALSE
2022-08-03,Columbus Crew,CF Montreal,1,2,mls,FALSE
2022-08-04,San Jose Earthquakes,Inter Miami,0,1,mls,FALSE
2022-08-04,Portland Timbers,Nashville SC,1,1,mls,FALSE
2022-08-06,Vancouver Whitecaps,Houston Dynamo,2,1,mls,FALSE
2022-08-06,Atlanta United,Seattle Sounders,2,1,mls,FALSE
2022-08-06,Charlotte,Chicago Fire,2,3,mls,FALSE
2022-08-06,Orlando City SC,New England Revolution,0,3,mls,FALSE
2022-08-06,Columbus Crew,New York City,3,2,mls,FALSE
2022-08-06,CF Montreal,Inter Miami,2,2,mls,FALSE
2022-08-06,DC United,New York Red Bulls,0,0,mls,FALSE
2022-08-06,FC Cincinnati,Philadelphia Union,3,1,mls,FALSE
2022-08-07,Nashville SC,Toronto,3,4,mls,FALSE
2022-08-07,Sporting Kansas City,Los Angeles Galaxy,4,2,mls,FALSE
2022-08-07,Colorado Rapids,Minnesota United,4,3,mls,FALSE
2022-08-07,Austin,San Jose Earthquakes,3,3,mls,FALSE
2022-08-07,Real Salt Lake,Los Angeles FC,1,4,mls,FALSE
2022-08-07,Portland Timbers,FC Dallas,1,1,mls,FALSE
2022-08-13,New York Red Bulls,Orlando City SC,0,1,mls,FALSE
2022-08-13,Philadelphia Union,Chicago Fire,4,1,mls,FALSE
2022-08-13,Toronto,Portland Timbers,3,1,mls,FALSE
2022-08-13,New England Revolution,DC United,1,0,mls,FALSE
2022-08-13,FC Cincinnati,Atlanta United,2,2,mls,FALSE
2022-08-14,Inter Miami,New York City,3,2,mls,FALSE
2022-08-14,FC Dallas,San Jose Earthquakes,4,1,mls,FALSE
2022-08-14,Houston Dynamo,CF Montreal,2,3,mls,FALSE
2022-08-14,Colorado Rapids,Columbus Crew,1,1,mls,FALSE
2022-08-14,Austin,Sporting Kansas City,4,3,mls,FALSE
2022-08-14,Los Angeles Galaxy,Vancouver Whitecaps,5,2,mls,FALSE
2022-08-14,Los Angeles FC,Charlotte,5,0,mls,FALSE
2022-08-15,Nashville SC,Minnesota United,1,2,mls,FALSE
2022-08-15,Seattle Sounders,Real Salt Lake,1,2,mls,FALSE
2022-08-17,Los Angeles FC,DC United,1,0,mls,FALSE
2022-08-17,Toronto,New England Revolution,2,2,mls,FALSE
2022-08-17,Atlanta United,New York Red Bulls,1,2,mls,FALSE
2022-08-18,New York City,Charlotte,1,3,mls,FALSE
